# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:13:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b645a37ce1.json
# init = 2 (Default)
# random
#   seed = 347313754
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281813-1-36b722.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281813-1-3bda5b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-212.45911,1,0.5,1,1,0,214.74139,0.50806754,0.33836516,0.17191236,0.16645281,-2.0398145,-1.7406869,-1.8201142,-2.1989547,-1.8201142,-1.962903,-1.8498637,-1.7165497,-1.5713263,-1.7503925,7,6,5,8,7,3,8,8,2,3,7,8,5,4,3,3,3,8,2,3,-5.0508285,0.73592091,1.851223,1.3623537,0.48886928
-212.45911,0,14.38551,0,1,1,213.3233,0.50806754,0.33836516,0.17191236,0.16645281,-2.0398145,-1.7406869,-1.8201142,-2.1989547,-1.8201142,-1.962903,-1.8498637,-1.7165497,-1.5713263,-1.7503925,5,7,5,8,3,7,2,8,2,6,8,7,3,2,5,6,2,7,1,4,-5.0508285,0.21240719,3.249682,0.69025582,2.5594262
-212.45911,0,2.4311673,0,1,1,213.86632,0.50806754,0.33836516,0.17191236,0.16645281,-2.0398145,-1.7406869,-1.8201142,-2.1989547,-1.8201142,-1.962903,-1.8498637,-1.7165497,-1.5713263,-1.7503925,7,6,4,8,4,3,5,7,5,4,8,8,2,8,5,1,5,7,6,2,-5.0508285,0.67054927,1.9959875,1.3384079,0.65757953
-212.85319,1,0.23979141,2,3,0,213.55605,0.5473305,0.33853159,0.18528867,0.15324293,-2.0733178,-1.7298126,-1.825961,-2.2294757,-1.825961,-2.0032464,-1.864293,-1.7226284,-1.585469,-1.7426821,8,5,3,8,5,6,6,3,1,2,2,4,5,6,8,8,6,4,1,4,-5.0565665,0.66061264,2.2014487,1.4543048,0.74714385
-210.8304,1,0.32433241,1,1,0,212.33484,0.55288934,0.45820818,0.25333842,0.20486976,-2.0783097,-1.6571444,-1.7497676,-2.2841966,-1.7497676,-2.0300187,-1.8034954,-1.6433517,-1.5250999,-1.6645491,5,7,5,7,3,5,5,5,4,4,4,8,1,8,4,3,8,4,1,3,-3.3940159,0.32833434,2.0753689,0.6814149,1.393954
-210.8304,0.34593042,0.50720558,1,3,0,211.45969,0.55288934,0.45820818,0.25333842,0.20486976,-2.0783097,-1.6571444,-1.7497676,-2.2841966,-1.7497676,-2.0300187,-1.8034954,-1.6433517,-1.5250999,-1.6645491,7,7,6,7,4,4,4,7,6,2,4,8,3,4,5,7,3,2,3,2,-3.3940159,0.51158475,1.4335423,0.73337837,0.70016392
-211.18299,0.98824523,0.11653361,2,3,0,211.27751,0.55113164,0.4243693,0.23388335,0.19048595,-2.075095,-1.6753927,-1.7685857,-2.2676499,-1.7685857,-2.0214107,-1.8181111,-1.6630167,-1.5397163,-1.6840936,7,7,5,8,7,4,8,3,3,6,6,8,7,8,8,3,7,5,3,1,-3.780538,0.71867874,2.4033514,1.7272376,0.67611385
-210.56572,1,0.19446923,1,1,0,211.13423,0.54467733,0.47322537,0.25775513,0.21547024,-2.0692559,-1.6526456,-1.7401324,-2.2818305,-1.7401324,-2.0224127,-1.7928111,-1.6332652,-1.5150805,-1.6584009,6,8,5,7,4,5,6,6,1,3,7,3,6,8,3,1,2,7,1,3,-3.2350275,0.18301499,1.1877534,0.21737669,0.97037676
-209.32836,0.82182207,0.35099697,2,3,0,211.22413,0.3921473,0.68119999,0.26713074,0.41406926,-1.8832502,-1.6839787,-1.6248177,-2.1690046,-1.6248177,-1.8402204,-1.6471633,-1.5279213,-1.3759349,-1.623701,7,5,4,7,3,5,5,6,1,5,7,7,1,6,5,4,7,7,3,2,-1.8041314,0.44516496,2.8956192,1.2890282,1.606591
-210.00704,0.79347902,0.36999558,1,3,0,210.05216,0.3907929,0.45653716,0.17841148,0.27812568,-1.9177598,-1.739154,-1.7255191,-2.1284779,-1.7255191,-1.8391605,-1.7410979,-1.6285432,-1.4625393,-1.7080244,5,4,6,7,5,5,7,7,1,4,8,7,6,7,1,7,2,3,3,1,-3.4495521,0.47588486,2.5164753,1.1975525,1.3189228
-209.23188,1,0.3607893,1,1,0,209.74153,0.43467595,0.54251547,0.23581843,0.30669704,-1.9435603,-1.681648,-1.6866517,-2.1866574,-1.6866517,-1.8905732,-1.7140581,-1.5840245,-1.4404821,-1.656052,6,8,2,5,7,8,6,6,5,4,7,8,3,6,6,4,7,5,1,4,-2.6304142,0.38154029,1.2143341,0.46331738,0.7510167
-209.23188,0.026825258,0.68116244,2,3,0,210.10562,0.43467595,0.54251547,0.23581843,0.30669704,-1.9435603,-1.681648,-1.6866517,-2.1866574,-1.6866517,-1.8905732,-1.7140581,-1.5840245,-1.4404821,-1.656052,7,8,5,7,3,5,7,5,2,2,8,6,6,8,1,1,5,8,3,4,-2.6304142,0.66261802,4.5415262,3.0092971,1.5322291
-209.43655,0.99697683,0.060160606,3,15,0,209.77045,0.41137519,0.51102143,0.21022154,0.30079989,-1.9248715,-1.7074444,-1.69859,-2.156395,-1.69859,-1.8614001,-1.7197887,-1.5989323,-1.4444497,-1.676574,4,7,3,6,5,6,5,8,3,6,6,5,4,6,7,3,3,7,2,4,-2.904575,0.1421049,4.2150701,0.5989821,3.616088
-212.89099,0.92558316,0.11411375,3,7,0,213.56522,0.23778741,0.43839769,0.10424545,0.33415224,-1.8217315,-1.879019,-1.7267159,-2.0124979,-1.7267159,-1.6905276,-1.727478,-1.6618836,-1.4292921,-1.7697318,4,8,5,8,6,4,3,7,2,5,8,8,6,5,7,7,2,7,2,4,-3.924599,0.13227128,7.0534902,0.93297415,6.1205161
-211.75072,0.92759055,0.17300661,2,3,0,214.38747,0.27448723,0.45702646,0.12544793,0.33157853,-1.8348602,-1.8382154,-1.7165521,-2.0368936,-1.7165521,-1.7202167,-1.719213,-1.6425924,-1.4277711,-1.7476143,5,7,5,7,6,6,6,7,3,7,7,7,8,5,4,7,5,7,1,5,-3.6228486,0.31807762,1.2346045,0.39270006,0.84190445
