# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 13:54:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b61beb4a02.json
# init = 2 (Default)
# random
#   seed = 1049478936
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281554-1-37e53c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281554-1-1bf7d5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-231.34015,1,0.25,1,1,0,238.36147,0.43395328,5.0810002,2.2049167,2.8760835,-1.9874907,-1.4968923,-1.3397999,-2.6740223,-1.3397999,-2.0551784,-1.4101669,-1.2218369,-1.1587345,-1.3691365,5,8,5,6,3,6,3,6,4,3,6,6,6,7,3,3,5,6,2,2,-3.202031,0.25270132,1.8888847,0.47732366,1.411561
-231.34015,0,14.38551,0,1,1,233.24565,0.43395328,5.0810002,2.2049167,2.8760835,-1.9874907,-1.4968923,-1.3397999,-2.6740223,-1.3397999,-2.0551784,-1.4101669,-1.2218369,-1.1587345,-1.3691365,6,6,4,8,4,5,8,5,2,4,5,7,4,8,7,3,7,6,2,3,-3.202031,0.6356914,1.7834087,1.1336976,0.64971113
-231.34015,0,2.4311673,0,1,1,231.58494,0.43395328,5.0810002,2.2049167,2.8760835,-1.9874907,-1.4968923,-1.3397999,-2.6740223,-1.3397999,-2.0551784,-1.4101669,-1.2218369,-1.1587345,-1.3691365,8,4,3,8,2,5,4,3,3,3,8,7,7,6,3,6,7,4,4,4,-3.202031,0.80978955,2.3504269,1.9033512,0.44707575
-209.95507,0.81477252,0.23979141,2,3,0,229.95834,0.4903242,0.46894513,0.22993514,0.23900998,-2.0085247,-1.6769615,-1.7323355,-2.2234333,-1.7323355,-1.9539706,-1.7691543,-1.6265465,-1.4937645,-1.6736618,8,5,4,8,3,5,8,4,5,3,5,4,8,7,6,6,4,7,3,1,-3.2708485,0.97837287,1.9174252,1.8759568,0.041468402
-211.66637,0.85403002,0.19105237,2,5,0,213.65619,0.26358371,0.54733976,0.14426984,0.40306991,-1.7970423,-1.8440732,-1.6684113,-2.0277429,-1.6684113,-1.6939127,-1.6709438,-1.6024153,-1.3816007,-1.7175119,7,8,4,8,7,4,7,6,3,3,7,7,2,8,6,6,3,8,5,6,-2.8290552,0.36595121,2.4494699,0.89638647,1.5530834
-210.11446,0.98963197,0.18894885,3,7,0,212.51099,0.51576606,0.76120166,0.39260198,0.36859968,-2.0467604,-1.5696181,-1.6231108,-2.3569272,-1.6231108,-2.0300525,-1.6865376,-1.5108463,-1.4132508,-1.558036,7,6,3,8,4,8,5,7,3,5,8,5,4,7,5,2,8,8,4,1,-1.4147921,0.807075,2.1334471,1.7218518,0.4115953
-209.61759,1,0.30339154,2,3,0,210.22661,0.3610341,0.65906896,0.23794637,0.42112259,-1.8532919,-1.7191118,-1.6288554,-2.1299861,-1.6288554,-1.7990389,-1.6445056,-1.538444,-1.3706967,-1.6423396,4,6,3,8,6,4,4,5,3,5,6,8,7,7,6,7,5,4,4,4,-1.9483217,0.48914187,3.364575,1.6457545,1.7188205
-209.61759,4.9372648e-05,0.53356338,1,1,0,211.60834,0.3610341,0.65906896,0.23794637,0.42112259,-1.8532919,-1.7191118,-1.6288554,-2.1299861,-1.6288554,-1.7990389,-1.6445056,-1.538444,-1.3706967,-1.6423396,6,7,5,8,4,7,4,7,6,6,7,8,6,6,5,8,5,7,4,4,-1.9483217,0.18700226,1.4703762,0.27496366,1.1954125
-209.1469,1,0.041983775,4,15,0,209.69285,0.45845412,0.6364543,0.29178509,0.3446692,-1.9638039,-1.6386507,-1.651563,-2.2382188,-1.651563,-1.9285955,-1.6891801,-1.5454053,-1.4179024,-1.6139059,8,6,3,7,5,6,5,7,1,3,6,5,7,4,4,3,6,7,4,6,-1.9974153,0.56638458,2.8322058,1.6041177,1.2280881
-209.41587,0.99391263,0.076891454,2,7,0,209.79734,0.49513655,0.59866674,0.29642179,0.30224496,-2.0105519,-1.626358,-1.6730863,-2.2718276,-1.6730863,-1.9756131,-1.7197963,-1.5647025,-1.4465587,-1.615936,7,6,5,6,4,4,8,5,2,2,5,6,5,7,7,7,3,5,3,4,-2.2171949,0.74218799,2.0188611,1.4983744,0.52048663
