# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:14:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b674762f8f.json
# init = 2 (Default)
# random
#   seed = 193633946
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281814-1-30ba59.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281814-1-687992.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-214.80453,0.97672639,0.25,3,7,0,221.26029,0.2140015,0.35191509,0.075310358,0.27660473,-1.8558751,-1.908355,-1.787003,-2.0112598,-1.787003,-1.6990435,-1.7870645,-1.7205447,-1.4801423,-1.8217713,8,8,4,8,6,8,4,7,3,3,6,6,2,6,4,4,6,8,3,5,-5.2101388,0.12474112,1.8199041,0.22701688,1.5928872
-214.80453,0,13.789478,0,1,1,215.12729,0.2140015,0.35191509,0.075310358,0.27660473,-1.8558751,-1.908355,-1.787003,-2.0112598,-1.787003,-1.6990435,-1.7870645,-1.7205447,-1.4801423,-1.8217713,7,4,2,6,6,4,7,3,5,1,3,4,5,6,7,5,4,8,6,3,-5.2101388,0.84255763,2.4516671,2.0656708,0.38599627
-214.80453,0,2.3013942,0,1,1,215.81986,0.2140015,0.35191509,0.075310358,0.27660473,-1.8558751,-1.908355,-1.787003,-2.0112598,-1.787003,-1.6990435,-1.7870645,-1.7205447,-1.4801423,-1.8217713,5,7,4,7,2,3,8,2,2,1,7,7,7,4,1,5,6,8,4,4,-5.2101388,0.76583281,2.392382,1.8321646,0.56021736
-210.4892,1,0.225372,2,3,0,214.46079,0.30863768,0.59394556,0.18331398,0.41063158,-1.8180507,-1.7858213,-1.6498779,-2.0693957,-1.6498779,-1.7380512,-1.656873,-1.5718663,-1.3756033,-1.6834452,6,7,6,7,4,6,5,4,5,5,7,5,5,4,2,5,8,6,1,7,-2.4058922,0.34521947,3.0179603,1.0418587,1.9761016
-210.01884,0.97176755,0.30346702,2,3,0,210.85863,0.52508258,0.70276304,0.36900863,0.33375441,-2.0571009,-1.5790322,-1.6428531,-2.3496175,-1.6428531,-2.0354777,-1.706584,-1.5312869,-1.431907,-1.5720819,8,6,4,8,6,5,6,3,5,4,8,6,4,7,5,7,7,8,2,5,-1.6578517,0.73027001,2.6969565,1.9695064,0.72745005
-210.01884,0.2405623,0.43500391,1,1,0,210.7508,0.52508258,0.70276304,0.36900863,0.33375441,-2.0571009,-1.5790322,-1.6428531,-2.3496175,-1.6428531,-2.0354777,-1.706584,-1.5312869,-1.431907,-1.5720819,3,8,2,5,4,5,5,6,3,2,5,4,4,8,5,3,6,7,5,2,-1.6578517,0.30675099,1.7656709,0.54162131,1.2240496
-209.98531,1,0.072085478,2,3,0,210.02418,0.52312237,0.70290732,0.36770654,0.33520078,-2.0541041,-1.5800814,-1.642335,-2.3468023,-1.642335,-2.0324493,-1.7053028,-1.5308269,-1.4308459,-1.5726122,8,8,1,7,6,6,4,6,4,4,5,8,5,8,2,7,8,8,1,2,-1.6568194,0.52119738,3.2060814,1.6710012,1.5350802
-209.53431,1,0.12378773,3,7,0,210.18544,0.4463304,0.49256868,0.21984838,0.27272031,-1.9613086,-1.6908607,-1.7128454,-2.1863982,-1.7128454,-1.9025723,-1.7405491,-1.6095442,-1.4657496,-1.6741927,4,7,4,7,3,2,5,8,4,5,5,8,3,5,5,4,6,7,4,5,-3.0509006,0.70091962,1.5783062,1.1062658,0.47204041
-210.50719,0.87145069,0.22245199,2,3,0,211.31214,0.33488275,0.46511431,0.15575876,0.30935555,-1.8722538,-1.7798755,-1.7153978,-2.0830912,-1.7153978,-1.779104,-1.7235452,-1.6277987,-1.4403238,-1.7222672,7,7,3,8,2,6,7,4,3,5,6,3,7,6,6,7,5,6,1,5,-3.4254669,0.60092484,2.3329623,1.401935,0.93102731
-209.85013,0.997256,0.27367498,2,3,0,210.63512,0.43801973,0.84364838,0.36953463,0.47411374,-1.9321324,-1.6132441,-1.583793,-2.2646845,-1.583793,-1.9161813,-1.6226588,-1.4780213,-1.3554677,-1.565204,7,7,7,4,6,6,8,6,4,4,6,7,8,7,6,4,3,8,3,3,-1.1559056,0.55668467,1.2787126,0.71183972,0.56687291
-209.85013,0.0061509873,0.50812381,1,1,0,210.34607,0.43801973,0.84364838,0.36953463,0.47411374,-1.9321324,-1.6132441,-1.583793,-2.2646845,-1.583793,-1.9161813,-1.6226588,-1.4780213,-1.3554677,-1.565204,5,8,2,7,8,6,5,6,3,4,7,7,5,8,2,7,6,6,3,3,-1.1559056,0.44906252,1.7711621,0.79536253,0.97579961
-209.6479,0.99893233,0.041536898,4,23,0,210.59615,0.36112473,0.54953884,0.19845206,0.35108677,-1.8720298,-1.7381422,-1.6741651,-2.1144267,-1.6741651,-1.8015896,-1.6876166,-1.5827884,-1.4103223,-1.6782545,6,6,5,6,3,4,6,4,5,3,5,5,5,8,7,6,2,6,1,6,-2.6395474,0.7689385,1.0870383,0.83586562,0.2511727
-213.085,0.97638895,0.079008978,3,9,0,213.25869,0.22108915,0.53197386,0.11761365,0.41436021,-1.7754369,-1.9010271,-1.674849,-1.9944508,-1.674849,-1.6537431,-1.6752854,-1.623007,-1.3781108,-1.7410648,5,6,5,8,5,5,3,5,2,4,8,8,5,7,5,5,5,6,1,6,-3.0695029,0.40952389,3.6407345,1.4909678,2.1497668
-213.1697,0.95527743,0.14032852,3,15,0,214.98121,0.6522619,0.58366375,0.38070163,0.20296213,-2.2466892,-1.5739674,-1.7184871,-2.4811973,-1.7184871,-2.2059808,-1.8287902,-1.6142874,-1.53221,-1.5853119,8,7,5,8,7,3,6,7,2,3,5,7,7,8,2,3,5,7,2,5,-2.4127822,0.4846053,3.0491738,1.4776458,1.571528
-211.74869,1,0.23312461,2,3,0,214.00276,0.55334138,0.39030719,0.21597312,0.17433407,-2.0770921,-1.6943527,-1.7902222,-2.2552719,-1.7902222,-2.017885,-1.8364519,-1.6855919,-1.5577799,-1.7048698,6,4,3,8,3,3,8,3,2,3,7,7,3,8,5,4,2,5,3,3,-4.2306568,0.9162654,3.6207725,3.3175885,0.30318395
-211.48093,0.81560287,0.44361263,1,1,0,212.50248,0.57908043,0.74488142,0.43134625,0.31353517,-2.152317,-1.5412088,-1.6447398,-2.4515697,-1.6447398,-2.131136,-1.7353937,-1.5323148,-1.4521508,-1.5446366,8,6,5,8,3,5,7,5,3,1,5,5,4,6,5,4,4,6,3,2,-1.5021424,0.48192486,3.8770527,1.8684481,2.0086046
-210.32773,1,0.47558325,1,1,0,211.4593,0.55394926,0.58773575,0.32557578,0.26215996,-2.0899833,-1.6014847,-1.6902832,-2.3430276,-1.6902832,-2.0577542,-1.7567987,-1.580771,-1.4784204,-1.6043712,7,4,3,7,3,1,6,7,5,4,8,7,6,7,3,5,6,4,4,1,-2.2999717,0.39162379,2.7899685,1.092618,1.6973504
-210.32773,7.012739e-07,0.89597528,2,3,0,211.61176,0.55394926,0.58773575,0.32557578,0.26215996,-2.0899833,-1.6014847,-1.6902832,-2.3430276,-1.6902832,-2.0577542,-1.7567987,-1.580771,-1.4784204,-1.6043712,7,8,5,8,4,3,5,6,3,6,7,6,3,8,6,6,7,7,2,7,-2.2999717,0.27519885,2.6889241,0.73998882,1.9489353
-209.55065,0.99806711,0.080823269,3,15,0,210.83706,0.39746851,0.5035295,0.20013712,0.30339238,-1.9134166,-1.7197399,-1.700667,-2.141814,-1.700667,-1.8451694,-1.7189881,-1.6028935,-1.4426562,-1.6842732,8,5,5,8,7,6,7,7,3,4,8,8,3,8,4,3,6,6,1,7,-2.981891,0.72372055,2.000522,1.4478189,0.55270311
-209.42425,1,0.15237559,3,7,0,209.62334,0.4438254,0.75711255,0.33602578,0.42108676,-1.9415824,-1.6229806,-1.6087456,-2.2514952,-1.6087456,-1.9179918,-1.6467161,-1.5029428,-1.3779711,-1.5835762,8,7,4,8,2,4,6,6,3,3,8,6,5,8,4,7,7,4,1,4,-1.4419847,0.84725285,3.2292998,2.7360334,0.49326633
-209.42425,0.71616394,0.28629695,1,3,0,210.52425,0.4438254,0.75711255,0.33602578,0.42108676,-1.9415824,-1.6229806,-1.6087456,-2.2514952,-1.6087456,-1.9179918,-1.6467161,-1.5029428,-1.3779711,-1.5835762,8,5,7,8,4,3,6,6,1,3,8,8,4,3,5,5,7,6,5,3,-1.4419847,0.60240321,1.4953745,0.90081843,0.59455611
-209.29391,1,0.23018251,1,1,0,209.41422,0.44431841,0.72314487,0.32130658,0.40183829,-1.9430963,-1.6292833,-1.6192406,-2.2434649,-1.6192406,-1.9159059,-1.6561892,-1.5137145,-1.386819,-1.5924571,8,8,4,6,8,7,6,7,4,2,7,7,3,4,6,6,6,8,4,3,-1.5784295,0.23483178,1.4939108,0.35081773,1.143093
-209.29391,0.012022872,0.42711521,2,3,0,212.0434,0.44431841,0.72314487,0.32130658,0.40183829,-1.9430963,-1.6292833,-1.6192406,-2.2434649,-1.6192406,-1.9159059,-1.6561892,-1.5137145,-1.386819,-1.5924571,6,6,3,8,4,5,3,3,5,3,7,4,7,4,7,5,7,6,4,8,-1.5784295,0.62460514,3.5174406,2.1970115,1.3204291
-210.15989,0.99372044,0.044415117,3,15,0,211.45437,0.40707451,0.88293527,0.35942044,0.52351483,-1.8884753,-1.6393016,-1.5683588,-2.2285774,-1.5683588,-1.8707182,-1.5990007,-1.467894,-1.3325127,-1.569705,6,5,3,7,5,5,8,7,1,5,6,7,5,8,6,5,3,6,5,7,-1.068079,0.46465078,2.7657767,1.2851203,1.4806564
-209.93375,0.99979825,0.081294186,2,3,0,210.20697,0.40689185,0.84502353,0.34383319,0.50119034,-1.8897221,-1.6442731,-1.5778334,-2.2205996,-1.5778334,-1.868345,-1.6076041,-1.4775732,-1.3404348,-1.5775417,8,8,2,8,6,5,8,5,5,2,8,8,3,4,3,5,7,5,3,5,-1.1717229,0.65483319,2.5582857,1.6752504,0.8830353
-210.63512,0.90280348,0.14990815,2,7,0,212.75109,0.56740967,0.60644363,0.34410198,0.26234165,-2.1120884,-1.5893643,-1.6863954,-2.3698239,-1.6863954,-2.0816776,-1.7599349,-1.5766366,-1.4797268,-1.5938127,5,7,6,8,2,6,7,6,4,2,7,7,5,8,4,5,6,8,3,3,-2.1864115,0.62116137,5.4277332,3.3714982,2.056235
-210.4147,0.88090957,0.20789783,2,7,0,212.18573,0.37072349,0.43568826,0.16151987,0.27416839,-1.907537,-1.7600408,-1.7359242,-2.109428,-1.7359242,-1.8193153,-1.7478609,-1.6416129,-1.4668398,-1.7246751,8,7,3,6,2,7,5,4,3,3,5,8,3,8,5,3,5,3,2,2,-3.7036894,0.56226253,3.6617407,2.0588596,1.6028811
-211.21256,0.9190335,0.26966867,2,3,0,212.07099,0.27996351,0.59522379,0.16664094,0.42858285,-1.7953755,-1.8210966,-1.6476091,-2.0431445,-1.6476091,-1.7055213,-1.6517022,-1.5783677,-1.3665637,-1.6952403,8,7,6,7,3,5,7,6,1,3,6,7,3,7,3,4,3,8,2,2,-2.4544818,0.52797707,2.7114828,1.4316008,1.2798821
-210.98257,0.72293134,0.38731113,2,3,0,212.46589,0.45470446,1.00897,0.45878319,0.55018686,-1.9584789,-1.5740789,-1.5502565,-2.3306408,-1.5502565,-1.9577103,-1.5994467,-1.4404309,-1.3337835,-1.5265629,5,7,6,8,3,5,7,6,4,6,8,7,3,3,5,7,7,6,2,1,-0.77380305,0.58484184,2.0902637,1.2224737,0.86779002
-209.29492,0.92696496,0.32172105,2,3,0,210.92035,0.40883343,0.70799458,0.28945185,0.41854272,-1.899933,-1.6633554,-1.6181576,-2.1945004,-1.6181576,-1.8641363,-1.6450751,-1.5181356,-1.3751288,-1.609785,5,7,5,8,4,6,4,6,1,3,8,8,7,8,4,4,5,7,2,1,-1.6656413,0.45325298,2.3297314,1.0559577,1.2737737
-209.29492,0.32662569,0.46873022,1,1,0,209.74278,0.40883343,0.70799458,0.28945185,0.41854272,-1.899933,-1.6633554,-1.6181576,-2.1945004,-1.6181576,-1.8641363,-1.6450751,-1.5181356,-1.3751288,-1.609785,6,5,4,7,5,3,5,7,2,3,5,5,4,7,7,5,6,4,3,6,-1.6656413,0.60270649,3.6655145,2.2092294,1.4562851
-209.33913,0.99685519,0.13290565,2,3,0,209.39059,0.40610763,0.71730897,0.29130464,0.42600432,-1.8960317,-1.6642887,-1.6146931,-2.1930816,-1.6146931,-1.8607447,-1.6411901,-1.5151156,-1.3713789,-1.608303,4,8,4,6,7,6,3,8,1,2,8,8,6,7,5,7,7,5,6,6,-1.6268506,0.19296328,1.2657401,0.24424136,1.0214987
-209.12743,1,0.23399518,2,3,0,209.31302,0.44985635,0.58951687,0.26519791,0.32431896,-1.95597,-1.6574312,-1.6684964,-2.2151655,-1.6684964,-1.9129998,-1.7016767,-1.563777,-1.4294649,-1.6331074,6,7,7,6,5,4,8,4,2,2,4,6,5,5,4,7,2,2,7,6,-2.2865916,0.54236657,3.6987426,2.0060744,1.6926683
-209.12743,0.03606126,0.4116353,1,1,0,210.87991,0.44985635,0.58951687,0.26519791,0.32431896,-1.95597,-1.6574312,-1.6684964,-2.2151655,-1.6684964,-1.9129998,-1.7016767,-1.563777,-1.4294649,-1.6331074,7,6,5,8,3,2,5,7,1,4,8,6,5,7,8,4,2,7,3,1,-2.2865916,0.42983064,2.5130825,1.0801999,1.4328826
-209.65761,0.98769058,0.055756214,3,15,0,211.8476,0.51047527,0.55507694,0.28335305,0.27172389,-2.0295971,-1.6330394,-1.6942673,-2.2751242,-1.6942673,-1.9907262,-1.7429904,-1.5860375,-1.4682942,-1.6288068,5,6,4,6,3,5,6,7,2,3,3,7,4,7,3,3,5,7,6,6,-2.5181173,0.45035841,3.5143031,1.5826959,1.9316071
-210.58991,0.97483321,0.095176986,3,7,0,211.00392,0.46350235,0.40887826,0.18951603,0.21936222,-1.9897029,-1.7171176,-1.7636892,-2.1815665,-1.7636892,-1.9189996,-1.7901789,-1.660189,-1.5131115,-1.7133735,7,7,8,7,5,5,7,3,4,2,7,7,6,5,7,8,6,7,1,5,-3.9715483,0.80677079,1.4302362,1.1538728,0.27636341
