# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:14:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b67a073ef7.json
# init = 2 (Default)
# random
#   seed = 481292144
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281814-2-43ec09.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281814-2-964167.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-197.08673,0.90155691,0.25,2,3,0,217.96276,0.20219129,1.0527334,0.21285352,0.83987985,-1.625402,-1.5963204,-1.625402,-1.6541445,-1.9787394,-1.2562882,-2.0963577,-1.5174097,-1.5715477,-2.190147,7,5,5,3,3,4,8,3,4,3,7,4,1,4,5,3,5,3,3,3,-1.1335539,0.73557712,2.9999116,2.2066663,0.79324527
-197.08673,0,12.027961,0,1,1,198.91322,0.20219129,1.0527334,0.21285352,0.83987985,-1.625402,-1.5963204,-1.625402,-1.6541445,-1.9787394,-1.2562882,-2.0963577,-1.5174097,-1.5715477,-2.190147,4,6,5,4,5,4,6,3,2,2,3,2,3,1,2,3,7,6,3,1,-1.1335539,0.56095219,3.9719887,2.2280957,1.7438929
-197.08673,1.3469536e-33,1.9277219,1,2,1,197.64304,0.20219129,1.0527334,0.21285352,0.83987985,-1.625402,-1.5963204,-1.625402,-1.6541445,-1.9787394,-1.2562882,-2.0963577,-1.5174097,-1.5715477,-2.190147,7,3,5,6,2,1,7,2,1,6,2,5,3,4,2,2,5,5,2,3,-1.1335539,0.46396453,1.6139537,0.74881728,0.86513643
-197.1342,0.99660926,0.18446297,1,1,0,197.14495,0.20589001,1.0561679,0.21745442,0.83871344,-1.6223526,-1.5979685,-1.6223526,-1.6513946,-1.9725453,-1.2578229,-2.1028702,-1.516446,-1.5681576,-2.1849363,5,4,6,2,5,2,7,5,4,3,6,5,3,6,7,2,5,5,5,6,-1.1149901,0.41764127,3.642953,1.5214475,2.1215055
-196.7839,0.98239882,0.24245476,3,7,0,197.42663,0.14406398,0.99788111,0.14375873,0.85412238,-1.6766107,-1.5732553,-1.6766107,-1.6983802,-2.0766324,-1.238431,-2.0018041,-1.5347265,-1.6253975,-2.270229,5,4,7,2,4,1,8,2,1,1,3,8,5,3,3,3,4,3,1,1,-1.4917642,0.74897578,3.2613064,2.4426395,0.81866691
-197.54006,0.95763613,0.35525293,3,7,0,197.6128,0.081853465,0.91904213,0.075226783,0.84381535,-1.7401786,-1.5579982,-1.7401786,-1.7492171,-2.178063,-1.2370161,-1.9168129,-1.5618132,-1.6844011,-2.343881,6,4,7,5,5,2,5,2,1,2,5,2,4,3,5,2,6,5,5,7,-2.1470632,0.69575042,1.0665325,0.74204046,0.32449208
-197.54006,0.012128118,0.52607551,1,1,0,199.28603,0.081853465,0.91904213,0.075226783,0.84381535,-1.7401786,-1.5579982,-1.7401786,-1.7492171,-2.178063,-1.2370161,-1.9168129,-1.5618132,-1.6844011,-2.343881,3,1,5,2,5,5,8,3,7,3,2,5,1,5,4,1,7,3,4,6,-2.1470632,0.35138219,2.0528403,0.72133151,1.3315088
-197.37088,0.99832482,0.043130488,4,31,0,199.01616,0.1689384,0.66698473,0.11267933,0.5543054,-1.7248336,-1.6525353,-1.7248336,-1.7310369,-1.9884949,-1.3333402,-2.0312774,-1.6228976,-1.6316279,-2.0911846,5,5,7,3,2,2,5,1,3,2,6,3,6,5,6,2,7,5,3,3,-2.4041185,0.4858419,1.0847115,0.5269983,0.5577132
-198.22372,0.98937229,0.07631965,3,7,0,198.56005,0.17971405,0.56384745,0.10133131,0.46251614,-1.7513292,-1.6886362,-1.7513292,-1.7506096,-1.9600892,-1.3762152,-2.0450784,-1.6639572,-1.640189,-2.0200763,7,5,6,4,3,3,4,2,4,2,4,7,2,4,6,4,6,1,5,1,-2.9816642,0.47484478,3.8415842,1.8241562,2.017428
-199.02972,0.97312154,0.13555412,3,7,0,200.63459,0.22324216,1.6425716,0.36669123,1.2758804,-1.5481776,-1.5589007,-1.5481776,-1.5972633,-1.9830123,-1.1984547,-2.1784093,-1.4341561,-1.5295697,-2.2844701,7,2,6,2,7,1,7,1,3,4,5,2,5,2,3,2,6,3,5,1,-0.75994647,0.12970685,0.90799346,0.11777298,0.79022048
-198.69901,1,0.2329584,2,3,0,199.28851,0.23721381,1.4524004,0.34452944,1.107871,-1.5538168,-1.5802901,-1.5538168,-1.5978581,-1.9442814,-1.226242,-2.1935818,-1.4539584,-1.5218301,-2.2244428,5,6,6,1,5,6,4,6,2,5,3,5,4,5,3,1,5,2,4,2,-0.72153025,0.58083766,2.1192247,1.2309255,0.88829917
-196.97616,1,0.44003877,2,3,0,198.05532,0.17339866,1.1242911,0.19495056,0.9293405,-1.636786,-1.571382,-1.636786,-1.6666538,-2.0382105,-1.2289249,-2.0522172,-1.5069914,-1.5934645,-2.2606239,4,4,4,1,3,3,8,1,2,2,2,6,5,4,4,2,6,4,2,4,-1.1573186,0.38810282,2.2757195,0.88321317,1.3925064
-196.97616,0.077124235,0.83388916,1,1,0,198.06545,0.17339866,1.1242911,0.19495056,0.9293405,-1.636786,-1.571382,-1.636786,-1.6666538,-2.0382105,-1.2289249,-2.0522172,-1.5069914,-1.5934645,-2.2606239,4,5,5,4,1,6,7,2,4,4,4,3,6,6,4,3,6,5,3,2,-1.1573186,0.71479416,3.2244255,2.3048005,0.91962496
-196.98738,0.99979848,0.087415922,1,1,0,196.98812,0.1737612,1.1294563,0.19625568,0.93320058,-1.635863,-1.5709596,-1.635863,-1.6659623,-2.0380977,-1.228274,-2.0530619,-1.5060477,-1.5929181,-2.2614999,8,5,6,4,5,7,8,3,5,4,4,5,2,7,6,4,4,7,5,3,-1.1497337,0.75413083,1.4939372,1.1266241,0.36731309
-198.71519,0.93182619,0.16728213,2,7,0,199.67347,0.084360572,1.5541668,0.1311104,1.4230564,-1.6853811,-1.4805668,-1.6853811,-1.7135431,-2.2731249,-1.140634,-1.9155567,-1.4639991,-1.6755005,-2.5342773,7,7,8,3,2,4,8,2,3,1,8,4,2,6,5,4,4,3,6,1,-1.5629766,0.99408069,2.795302,2.7787557,0.016546264
-197.08866,0.98992503,0.25824903,2,7,0,199.66023,0.18783042,1.1334964,0.21290511,0.92059129,-1.6246369,-1.578352,-1.6246369,-1.655941,-2.0124589,-1.2349635,-2.0769902,-1.5038586,-1.5800099,-2.2382578,6,5,5,4,3,4,5,4,4,2,4,3,7,6,3,4,5,7,2,7,-1.0844857,0.75161296,2.078485,1.5622162,0.51626873
