# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 13:54:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b679c88f3c.json
# init = 2 (Default)
# random
#   seed = 1440670300
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281554-2-267e13.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281554-2-40ac44.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-235.34405,0.19798688,0.5,1,1,0,235.36327,0.70793281,2.4265314,1.7178212,0.70871022,-2.8755607,-1.2984794,-1.532622,-3.4290224,-1.532622,-2.6980663,-1.8270923,-1.4191046,-1.4447293,-1.3105386,7,7,7,6,2,8,5,5,1,2,6,5,4,8,6,5,5,6,2,6,-0.97141412,0.44211551,2.405325,1.0634315,1.3418935
-235.34405,0,3.3468372,0,1,1,235.71611,0.70793281,2.4265314,1.7178212,0.70871022,-2.8755607,-1.2984794,-1.532622,-3.4290224,-1.532622,-2.6980663,-1.8270923,-1.4191046,-1.4447293,-1.3105386,7,4,7,8,3,5,6,4,1,3,7,4,4,7,4,5,7,4,6,4,-0.97141412,0.86504919,1.247894,1.0794897,0.16840431
-212.82692,0.5779742,0.36714753,3,7,0,229.14225,0.463536,1.2448248,0.57702109,0.66780366,-1.9810301,-1.5397126,-1.5130248,-2.4004569,-1.5130248,-1.9942063,-1.571541,-1.399747,-1.3072827,-1.4885437,4,6,6,7,5,7,7,4,2,7,6,8,2,6,2,4,3,7,2,3,-0.49429473,0.21427287,3.4300859,0.73497435,2.6951116
-210.2367,1,0.13199636,3,7,0,213.10851,0.49715445,0.83535429,0.4153001,0.42005419,-2.0214222,-1.5659088,-1.5987625,-2.3525356,-1.5987625,-2.0102743,-1.6583766,-1.4864081,-1.3876123,-1.5453736,4,6,3,7,7,2,6,6,5,4,6,7,8,4,6,1,6,6,3,7,-1.1648797,0.59302926,1.2604503,0.74748394,0.5129664
-209.18605,1,0.17099901,2,3,0,210.33757,0.40082641,0.61631353,0.24703474,0.36927879,-1.8996689,-1.6886258,-1.6501804,-2.1662653,-1.6501804,-1.8500215,-1.6726902,-1.5518201,-1.4001185,-1.6404014,7,7,3,6,7,7,5,8,5,4,8,4,5,8,2,7,5,4,3,3,-2.1478116,0.32571796,1.4432149,0.47008102,0.97313389
-209.13553,0.97669736,0.26007275,2,7,0,209.38475,0.4513487,0.58669819,0.26480547,0.32189273,-1.9578617,-1.6572209,-1.6699146,-2.2161182,-1.6699146,-1.9147674,-1.7033577,-1.5650769,-1.4310769,-1.6336728,6,7,6,7,1,3,4,7,1,4,3,4,7,4,7,7,6,6,3,1,-2.3046687,0.42746294,1.0414316,0.44517343,0.5962582
-209.13553,0.10369439,0.40485333,1,1,0,210.6389,0.4513487,0.58669819,0.26480547,0.32189273,-1.9578617,-1.6572209,-1.6699146,-2.2161182,-1.6699146,-1.9147674,-1.7033577,-1.5650769,-1.4310769,-1.6336728,6,7,4,8,3,3,6,6,3,4,4,8,7,6,4,5,6,6,3,5,-2.3046687,0.73140016,2.5930023,1.8965223,0.69648
-210.0324,0.9958195,0.043946784,3,15,0,210.32739,0.52155828,0.5008895,0.26124306,0.23964643,-2.0424705,-1.6492481,-1.7215201,-2.2675898,-1.7215201,-1.9972887,-1.7695438,-1.6141457,-1.493543,-1.6500833,5,6,6,8,4,3,7,5,5,1,6,3,4,7,6,4,6,5,1,1,-2.9645916,0.68150333,1.5561846,1.060545,0.49563962
-209.15548,0.99898818,0.077168189,3,11,0,210.25503,0.41975152,0.57257078,0.24033746,0.33223332,-1.9246062,-1.6838039,-1.6710023,-2.1777167,-1.6710023,-1.8729837,-1.6962272,-1.5699788,-1.4231231,-1.6492023,8,7,1,7,2,8,8,4,2,6,7,7,3,5,5,8,2,3,4,1,-2.4176359,0.37612943,1.2079008,0.45432703,0.75357374
-209.24628,0.99183409,0.14129463,3,7,0,209.43217,0.45224522,0.70128284,0.31715181,0.38413102,-1.9539883,-1.6276126,-1.6277463,-2.2481528,-1.6277463,-1.9255977,-1.6662317,-1.5214803,-1.3963188,-1.5958368,5,7,4,7,4,4,5,6,5,2,7,5,7,8,4,7,3,8,1,6,-1.6712172,0.61471417,1.2132516,0.74580295,0.46744866
-209.68019,0.94511876,0.25764124,2,3,0,209.81081,0.5093836,0.5430116,0.27660121,0.26641039,-2.0281135,-1.6380199,-1.6993686,-2.269445,-1.6993686,-1.9875,-1.7468907,-1.5914169,-1.472101,-1.6341819,6,3,5,8,2,2,6,5,4,6,6,5,4,6,2,2,7,6,7,3,-2.6096956,0.78870279,3.9892595,3.1463401,0.84291942
-209.96338,0.89977055,0.40915903,1,1,0,210.18204,0.53358251,0.56931764,0.30377794,0.2655397,-2.0601337,-1.6169586,-1.6930744,-2.308882,-1.6930744,-2.025024,-1.7505725,-1.5840221,-1.4742838,-1.6168872,7,7,5,7,4,6,5,5,4,2,7,6,2,5,6,5,7,3,5,4,-2.4189341,0.39247993,2.3877943,0.93716134,1.4506329
-209.96338,0.061026406,0.56561841,1,3,0,210.77634,0.53358251,0.56931764,0.30377794,0.2655397,-2.0601337,-1.6169586,-1.6930744,-2.308882,-1.6930744,-2.025024,-1.7505725,-1.5840221,-1.4742838,-1.6168872,7,7,2,7,3,3,6,4,2,2,8,7,7,5,3,4,8,8,2,3,-2.4189341,0.68824792,3.8088537,2.6214357,1.1874181
-211.07745,0.99391562,0.056471817,3,7,0,211.16513,0.57699435,0.67727753,0.3907853,0.28649222,-2.1377377,-1.5619161,-1.6643936,-2.4169727,-1.6643936,-2.1125308,-1.7484059,-1.5533008,-1.4661631,-1.5662195,8,5,4,8,4,6,6,5,2,4,7,6,7,7,7,6,4,5,5,2,-1.7996543,0.64025819,1.3223117,0.84662092,0.47569082
-211.18533,0.99968215,0.10635706,3,7,0,212.17466,0.58573195,0.50203714,0.29405919,0.20797794,-2.1241901,-1.625794,-1.7347798,-2.3426586,-1.7347798,-2.0832294,-1.8047523,-1.6280842,-1.5228462,-1.6350149,6,8,3,6,5,6,6,5,1,5,4,7,6,5,8,5,7,2,2,3,-2.9821963,0.038540385,0.88383444,0.034063319,0.84977112
-209.38107,0.99451234,0.20319055,2,5,0,211.09165,0.37938843,0.648843,0.24616352,0.40267948,-1.8733163,-1.7020388,-1.6348329,-2.1485554,-1.6348329,-1.8227441,-1.6537511,-1.540418,-1.3809519,-1.638122,4,7,4,8,5,5,7,8,4,4,6,8,7,6,7,4,3,5,1,5,-1.9821656,0.14387299,1.4596657,0.21000646,1.2496592
-209.31312,0.5303429,0.3797959,2,3,0,212.53048,0.42114177,0.72715634,0.30623591,0.42092043,-1.9135509,-1.6485373,-1.6139303,-2.2142183,-1.6139303,-1.882599,-1.6445321,-1.5117382,-1.3752574,-1.5999119,8,6,1,8,2,5,5,4,3,4,8,7,4,6,5,5,3,5,5,1,-1.574222,0.84822074,4.0649584,3.447982,0.61697638
-209.78374,0.91063782,0.17076102,3,7,0,211.04659,0.45659416,0.46738726,0.21340629,0.25398097,-1.9745895,-1.6946539,-1.7278345,-2.1900094,-1.7278345,-1.9135585,-1.7564677,-1.6240024,-1.4810875,-1.6834091,8,7,5,7,5,3,1,7,2,3,8,6,3,6,6,7,2,7,1,5,-3.2940389,0.46651644,1.9364021,0.90336342,1.0330387
-209.87359,0.93639434,0.2464415,2,3,0,210.4489,0.42180383,0.84547844,0.35662604,0.4888524,-1.9096159,-1.6287443,-1.580301,-2.2417098,-1.580301,-1.8911554,-1.6142936,-1.477213,-1.3472828,-1.5712889,8,5,5,7,1,7,6,5,2,4,7,7,4,5,6,2,7,7,4,4,-1.1598776,0.63635041,2.8211686,1.7952518,1.0259168
-209.87359,0.018936946,0.38255187,1,1,0,213.20879,0.42180383,0.84547844,0.35662604,0.4888524,-1.9096159,-1.6287443,-1.580301,-2.2417098,-1.580301,-1.8911554,-1.6142936,-1.477213,-1.3472828,-1.5712889,6,6,4,7,3,7,3,5,1,2,6,5,4,5,4,7,7,6,2,5,-1.1598776,0.59675565,3.2213859,1.9223802,1.2990057
-209.30445,0.99961951,0.038283269,3,15,0,210.14501,0.41680831,0.72101805,0.30052631,0.42049174,-1.9085973,-1.6536137,-1.6151781,-2.2073114,-1.6151781,-1.8760525,-1.6444678,-1.5137327,-1.3749957,-1.6032028,8,6,3,7,5,5,5,6,4,2,8,8,2,7,4,5,5,7,1,4,-1.6030813,0.76178504,0.981582,0.74775448,0.23382752
-210.20342,0.98622422,0.072364224,4,15,0,211.15849,0.32628753,0.53922706,0.17594307,0.363284,-1.8452652,-1.7735533,-1.6759023,-2.0811917,-1.6759023,-1.7624799,-1.6842944,-1.5919343,-1.4031586,-1.6950717,6,8,3,6,6,6,5,5,3,4,8,8,3,5,6,7,7,7,1,2,-2.767555,0.17963858,1.7644551,0.31696421,1.4474909
-209.68564,1,0.13022851,2,3,0,210.25685,0.36427835,0.52968933,0.19295435,0.33673498,-1.8788984,-1.739619,-1.6839247,-2.1147921,-1.6839247,-1.8060895,-1.6974166,-1.5917378,-1.4196704,-1.68472,7,6,4,6,4,3,6,4,6,5,5,3,3,8,4,5,6,5,7,5,-2.7918173,0.8078781,1.8325358,1.4804656,0.35207026
-210.35151,0.88109352,0.24166276,2,3,0,211.03696,0.55304747,0.54631128,0.30213607,0.24417521,-2.0847508,-1.6176813,-1.7071803,-2.3234963,-1.7071803,-2.0479615,-1.7696549,-1.5986138,-1.4913791,-1.6217763,4,7,3,8,7,3,4,7,2,3,6,7,6,4,7,3,3,5,4,5,-2.5952007,0.50346755,1.4654718,0.73781751,0.72765431
-209.59362,1,0.31513917,2,3,0,210.44845,0.46770495,0.49410176,0.23109384,0.26300792,-1.982854,-1.6781073,-1.7153477,-2.2081671,-1.7153477,-1.9285756,-1.7481356,-1.6103698,-1.4735557,-1.6674089,7,6,4,8,6,1,7,4,2,3,4,6,5,7,7,3,4,6,5,6,-3.0292013,0.48387904,2.2199062,1.0741661,1.1457401
